"championnat régional Pays de Loire - Fontenay - 2003-03-16","Course 1","2003-03-16","Régional","58"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Sibioude Valerie","C1D","343.52","-","765",""
"Noel Nicolas","C1H","244.78","221","265",""
"Brodiez Marc","C1H","245.31","260","267",""
"Christian Boob","C1H","255.32","293","318",""
"Yoann Bizot","C1H","256.23","240","322",""
"Olivier Leboeuf","C1H","262.70","314","356",""
"Marc Anthoine Marchand","C1H","265.98","397","372",""
"Goubrievsky Sebastien","C1H","271.05","345","398",""
"Braud Mael","C1H","297.22","-","531",""
"Bardet Tony","C1H","301.62","441","553",""
"Delhaye Ghislain","C1H","322.37","-","658",""
"Jeanfrancis Battesti","C1H","346.71","553","781",""
"Jeanfrancois Dugast","C1H","370.05","892","899",""
"Maury Tylhaine","K1D","281.31","378","385",""
"Charlotte Le Borgne","K1D","281.94","-","388",""
"Oriane Rebours","K1D","282.11","498","389",""
"Geraldine Leclerc","K1D","286.56","361","411",""
"Rocher Laura","K1D","326.16","521","602",""
"Valerie Sibioude","K1D","327.05","328","606",""
"Frederic Leclerc","K1H","213.44","130","160",""
"Herve Busson","K1H","222.40","191","208",""
"Yoann Rebours","K1H","232.61","229","262",""
"Vermandere Vasil","K1H","237.29","-","287",""
"Delhaye Ghislain","K1H","238.59","248","294",""
"Loic Froissard","K1H","241.36","243","308",""
"Florian Ordonneau","K1H","245.76","346","333",""
"Leborgne Romain","K1H","252.52","-","368",""
"Marc Anthoine Marchand","K1H","254.38","-","378",""
"Fournier Valentin","K1H","260.59","457","411",""
"Leboeuf Olivier","K1H","262.78","-","423",""
"Plard Adrien","K1H","263.92","411","429",""
"Boinot Pierre","K1H","265.41","-","437",""
"Pasquier Marc","K1H","267.10","309","445",""
"Pete Remi","K1H","270.41","-","463",""
"Simon Bercon","K1H","271.57","543","469",""
"Chiron Pierre","K1H","272.19","-","472",""
"Braud Mael","K1H","272.28","645","473",""
"Neveu Mathieu","K1H","274.13","410","483",""
"Pete Julien","K1H","277.28","-","499",""
"Chesneau Brian","K1H","277.72","-","502",""
"Pinat Samuel","K1H","281.37","-","522",""
"Martin Pierre","K1H","283.28","-","532",""
"Ludovic Garnier","K1H","285.30","714","543",""
"Petitberghien Antoine","K1H","286.11","-","547",""
"Riviere Jeremy","K1H","289.48","-","565",""
"Yoann Hautecloche","K1H","296.84","375","604",""
"Kevin Gouabault","K1H","299.78","306","619",""
"Dugast Jeanfrancois","K1H","301.39","-","628",""
"Gelot Alexis","K1H","309.55","-","671",""
"Pasquier Simon","K1H","315.41","-","702",""
"Thierry Dugue","K1H","315.84","1063","704",""
"Fradin Ludovic","K1H","321.87","-","737",""
"Pohardy Sebastien","K1H","332.83","900","795",""
"Laurent Pascal","K1H","357.18","-","925",""
"Sonder Thibault","K1H","417.12","-","1243",""
"Bizard Jordi","K1H","453.07","-","1435",""
"Berland Valentin","K1H","485.62","-","1608",""
"Babin Anthony","K1H","764.70","-","3093",""
