"SLALOM REGIONAL - Amou - 2004-11-07 Course 1","Amou","Course 1","","2004-11-07","Régional","130"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Estanguet Patrice","C1H","208.35","21.0","125.0",""
"Cyril Duquet","C1H","212.93","92.0","155.0",""
"Dumont Thierry","C1H","217.8","213.0","186.0",""
"Jeremy Heugas","C1H","226.37","155.0","242.0",""
"Rouffet Benoit","C1H","232.71","182.0","284.0",""
"Jonathan Suc","C1H","238.47","351.0","321.0",""
"Lecocq Pierre","C1H","239.2","341.0","326.0",""
"Florian Tranchant","C1H","241.21","446.0","339.0",""
"Moustrou Pierre","C1H","245.23","-","366.0",""
"Yoan Minvielle","C1H","249.45","-","393.0",""
"Besso Gregorie","C1H","252.27","-","411.0",""
"Bazot Julien","C1H","254.27","520.0","424.0",""
"Yohan Carrandier","C1H","255.22","638.0","430.0",""
"Jonathan Delagnes","C1H","258.9","-","454.0",""
"Alexandre Heugas","C1H","274.73","-","557.0",""
"Nicolas Scharff","C1H","277.56","614.0","576.0",""
"Perez Mathieu","C1H","285.4","-","627.0",""
"Mathias Rodrigues","C1H","286.12","383.0","632.0",""
"Molina Remi","C1H","297.98","-","709.0",""
"Aladenise Beranger","C1H","325.76","-","889.0",""
"Benjamin Reig-Cyril Boulet","C2H","233.03","307.0","217.0",""
"Deslux Richard- Deslux Bertrand","C2H","241.71","370.0","271.0",""
"Ponassie Adrien- Barthes Julien","C2H","245.53","-","295.0",""
"Frederic Descot-Yoan Dalla Longa","C2H","261.94","459.0","397.0",""
"Boulet Valerian- Laborde Marc","C2H","262.06","-","397.0",""
"Ponassie Gregory- Bibonne Kevin","C2H","264.97","-","415.0",""
"Le Provost Nicolas- Mareau Damien","C2H","269.19","-","441.0",""
"Heugas Jeremy- Heugas Alexandre","C2H","287.27","-","554.0",""
"Lalanne Mathieu- Malet Cyril","C2H","291.28","-","579.0",""
"Bonhomme Benjamin- Feigne Robin","C2H","402.92","-","1273.0",""
"Thebault Denis- Le Furaut Nathalie","C2M","341.0","-","888.0",""
"Dickens Peggy","K1D","216.44","50.0","78.0",""
"Marie-zelia Lafont","K1D","223.82","68.0","122.0",""
"Perrine Beguery","K1D","228.8","159.0","152.0",""
"Laurence Pessoni","K1D","234.87","279.0","189.0",""
"Laetitia Thueux","K1D","250.02","349.0","281.0",""
"Violaine Truche","K1D","251.75","460.0","291.0",""
"Bresson Celia","K1D","252.31","633.0","295.0",""
"Vasseur Diane","K1D","254.78","543.0","310.0",""
"Le-Naour Lisa","K1D","257.01","-","324.0",""
"Natacha Lafitte","K1D","257.39","-","325.0",""
"Longue Lucie","K1D","259.43","598.0","338.0",""
"Detollenaere Manon","K1D","266.46","470.0","381.0",""
"Lasserre Anais","K1D","267.2","-","386.0",""
"Heape Alexandra","K1D","278.13","-","451.0",""
"Pauline Guiet","K1D","281.17","-","469.0",""
"Marchand Stephanie","K1D","285.37","-","496.0",""
"Le Furaut Nathalie","K1D","288.22","-","512.0",""
"Duval Deplanne Aline","K1D","311.49","-","653.0",""
"Roche Emilie","K1D","351.96","-","898.0",""
"Lucien Delfour","K1H","196.68","192.0","113.0",""
"Benoit Rouffet","K1H","196.81","60.0","115.0",""
"Arnaud Lapeze","K1H","198.24","51.0","123.0",""
"Baylacq Dominique","K1H","202.75","-","155.0",""
"Remy Guerinet","K1H","202.81","349.0","155.0",""
"Bertrand Gourrat","K1H","203.29","150.0","159.0",""
"Olivier Cain","K1H","206.75","211.0","181.0",""
"Bibes Jean Michel","K1H","207.45","-","186.0",""
"Eric Jolit","K1H","207.74","226.0","189.0",""
"Jonathan Delagnes","K1H","209.42","234.0","200.0",""
"Marc Laborde","K1H","210.36","198.0","207.0",""
"Boris Lesimple","K1H","210.88","226.0","210.0",""
"Duquet Guillaume","K1H","212.63","195.0","222.0",""
"Louis Georges Lafont","K1H","214.25","190.0","233.0",""
"Manuel Legros","K1H","216.34","324.0","247.0",""
"Julien Lenaour","K1H","216.48","222.0","248.0",""
"Valerian Boulet","K1H","216.5","278.0","248.0",""
"Laousse Yannick","K1H","216.78","-","251.0",""
"Nicolas Le Provost","K1H","217.64","437.0","257.0",""
"Veronel Patrice","K1H","218.75","356.0","265.0",""
"Naves Pierre","K1H","221.63","242.0","284.0",""
"Pascal Dongarra","K1H","222.88","-","292.0",""
"Jerome Dorizon","K1H","223.29","403.0","295.0",""
"Damien Mareau","K1H","224.23","-","301.0",""
"Frederic Descot","K1H","225.02","297.0","308.0",""
"Jonot Anthony","K1H","225.98","314.0","314.0",""
"Axel Mulle","K1H","226.78","-","319.0",""
"Cassagne Geoffroy","K1H","227.46","460.0","324.0",""
"Garros Samuel","K1H","228.05","-","328.0",""
"Hugues Lesimple","K1H","228.21","419.0","329.0",""
"Tony Deshayes","K1H","228.3","316.0","329.0",""
"Lafitte Vincent","K1H","228.55","473.0","332.0",""
"Celerier Romain","K1H","229.75","-","339.0",""
"Sylvain Mendez","K1H","230.21","365.0","343.0",""
"Martinez-Arconada Armel","K1H","231.05","342.0","348.0",""
"Thebault Denis","K1H","231.65","422.0","352.0",""
"Pourtau Stephane","K1H","233.16","334.0","363.0",""
"Rodrigues Anthony","K1H","234.51","-","372.0",""
"Courtiade Jean Yves","K1H","234.8","-","374.0",""
"Mazagot Christophe","K1H","235.5","559.0","378.0",""
"Thomas Dauvet","K1H","236.27","555.0","383.0",""
"Van Kalsbeek Elwin","K1H","236.92","739.0","388.0",""
"Eric Vidou","K1H","237.28","422.0","391.0",""
"Tayeel Aymeric","K1H","237.76","520.0","395.0",""
"Frederic Saint Agne","K1H","237.76","-","395.0",""
"Francois Cauchi","K1H","241.52","389.0","420.0",""
"Jean Luc Pessoni","K1H","243.24","518.0","431.0",""
"Sebastien Peres","K1H","243.93","-","436.0",""
"Jean-daniel Bost","K1H","244.5","521.0","440.0",""
"Saüt Bertrand","K1H","246.34","446.0","453.0",""
"Musseau Yvan","K1H","247.71","-","461.0",""
"Simon Dosiere","K1H","247.76","970.0","463.0",""
