"CHAMPIONNATS DE NORMANDIE - Pont D'ouilly Course 1","Pont D'ouilly","Course 1","","2005-02-27","Régional","69"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Guillaume Izydorczyk","C1H","195.59","294.0","276.0",""
"Yoann Hautecloche","C1H","209.08","-","360.0",""
"Eric Beaumont","C1H","237.71","-","539.0",""
"Donatien Lamoureux","C1H","240.12","534.0","554.0",""
"Dubu Alain","C1H","243.08","631.0","572.0",""
"Lecointe Thibault","C1H","244.71","467.0","583.0",""
"Samuel Bonvalet","C1H","260.92","531.0","683.0",""
"Geoffroy Lauth","C1H","265.04","478.0","709.0",""
"Coisnard Guillaume","C1H","280.7","725.0","807.0",""
"Despre Philippe","C1H","286.38","761.0","842.0",""
"Charles Quentin","C1H","351.86","-","1252.0",""
"Guillaume Izydorczyk-Benoit Letellier","C2H","224.42","-","392.0",""
"Leyoudec Florent- Dufailly Mickael","C2H","270.79","-","669.0",""
"Oudry Simon- Declomesnil Loic","C2H","282.48","-","738.0",""
"Anne Sophie Le Bailly","K1D","203.51","207.0","236.0",""
"Melina Letellier","K1D","207.19","206.0","256.0",""
"Pauline Soenen","K1D","231.49","302.0","398.0",""
"Landa Louise","K1D","246.19","467.0","483.0",""
"Clara Yang-ting","K1D","247.54","346.0","491.0",""
"Laura Guibout","K1D","250.67","453.0","509.0",""
"Leconte Sabrina","K1D","254.23","551.0","529.0",""
"Picart Carole","K1D","256.63","443.0","544.0",""
"Legendre Heïdi","K1D","277.15","1098.0","663.0",""
"Charlotte Hay","K1D","277.38","382.0","664.0",""
"Huette Mylene","K1D","306.36","661.0","831.0",""
"Courvoisier Laurene","K1D","316.98","835.0","894.0",""
"Natacha Richer","K1D","338.16","812.0","1017.0",""
"Rosse Laura","K1D","862.31","908.0","4056.0",""
"Thibaud Delaunay","K1H","163.38","62.0","126.0",""
"Benoit Letellier","K1H","165.64","126.0","140.0",""
"Goulwen Chapelier","K1H","171.1","155.0","176.0",""
"Beaudoin Fabien","K1H","174.48","180.0","199.0",""
"Yoann Hautecloche","K1H","174.8","164.0","201.0",""
"Herve Busson","K1H","177.49","140.0","218.0",""
"Mathieu Godin","K1H","180.16","221.0","236.0",""
"Benjamin Thiboust","K1H","185.25","234.0","269.0",""
"Bertrand Avril","K1H","187.46","285.0","283.0",""
"Andrieux Martin","K1H","192.89","357.0","320.0",""
"Nicolas Pinot","K1H","193.58","346.0","323.0",""
"Didier Niel","K1H","195.85","265.0","338.0",""
"Durand Gerald","K1H","198.68","-","358.0",""
"Anthony Mottais","K1H","199.91","381.0","365.0",""
"Jean-luc Mottais","K1H","211.36","301.0","440.0",""
"Olivier Cornu","K1H","211.52","390.0","441.0",""
"Verger Nicolas","K1H","215.21","380.0","466.0",""
"Nicolas Dupres","K1H","216.71","309.0","476.0",""
"Sebastien Delaunay","K1H","217.58","375.0","481.0",""
"Dubu Alain","K1H","218.05","369.0","484.0",""
"Launay Emmanuel","K1H","222.04","555.0","511.0",""
"Benjamin Dolbecq","K1H","222.45","570.0","513.0",""
"Ludovic Garnier","K1H","223.44","557.0","519.0",""
"Valentin Cazin","K1H","224.65","528.0","527.0",""
"Pierrick Meheust","K1H","225.53","591.0","533.0",""
"Donatien Lamoureux","K1H","235.2","-","596.0",""
"Romain Laporte","K1H","235.88","-","601.0",""
"Quentin Charles","K1H","236.66","595.0","606.0",""
"Quillet Maxime","K1H","238.29","541.0","617.0",""
"Flavien Odile","K1H","239.6","735.0","626.0",""
"Dominique Odile","K1H","246.45","540.0","670.0",""
"Despre Philippe","K1H","250.31","581.0","696.0",""
"Lebar Johnny","K1H","253.56","477.0","716.0",""
"Jeanne Vincent","K1H","261.13","677.0","766.0",""
"Cheron Valentin","K1H","266.74","839.0","803.0",""
"Houssaye Emilien","K1H","269.15","-","819.0",""
"Simon Vaillant","K1H","269.77","606.0","823.0",""
"Lefevre Romain","K1H","290.74","-","960.0",""
"Jerome Trousson","K1H","297.38","623.0","1004.0",""
"Demutrecy Julien","K1H","381.82","-","1558.0",""
"Loic Goubert","K1H","710.84","-","3713.0",""
