"SELECTIF REGIONAL SLALOM LOCHRIST - Lochrist - 2008-11-22","Course 1","2008-11-22","Régional","227"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Caroline Loir","C1D","254.84","181","164",""
"Anne Boixel","C1D","272.46","344","248",""
"Laetitia Odermatt","C1D","309.14","330","421",""
"Marie-francoise Prigent","C1D","328.68","-","515",""
"Pierre Berthelot Kleck","C1H","208.82","32","69",""
"Jeremie Gouello","C1H","210.62","34","78",""
"Edern Le Ruyet","C1H","210.74","30","78",""
"Jonathan Marc","C1H","213.69","30","94",""
"Emeric Bertrand","C1H","214.35","121","98",""
"Ronan Betrom","C1H","219.57","62","126",""
"Thibaud Vielliard","C1H","219.58","32","126",""
"Sebastien Cardiet","C1H","222.10","60","140",""
"Gireg Hamoniaux","C1H","223.12","103","145",""
"Medhi Deguil","C1H","223.35","123","146",""
"Yann Le Pennec","C1H","225.54","123","158",""
"Didier Botrel","C1H","228.82","205","175",""
"Benoit Guillaume","C1H","230.17","-","183",""
"Solen Le Bourles","C1H","230.65","214","185",""
"Julien Darcillon","C1H","232.51","186","194",""
"Yann Le Govic","C1H","235.28","-","210",""
"Paskal Cloarec","C1H","238.71","216","228",""
"Denis Voisin","C1H","242.55","396","248",""
"Quentin Gillot","C1H","245.80","326","265",""
"Pierre Marie Roussel","C1H","245.92","-","266",""
"Maxime Perron","C1H","249.72","333","287",""
"Marc Anthoine Marchand","C1H","250.53","261","291",""
"Cedric Collet","C1H","252.20","255","300",""
"Jerome Fouille","C1H","254.17","-","311",""
"Thomas Bourhis","C1H","254.62","-","313",""
"Yvan Nicolas","C1H","258.32","394","332",""
"Yves Marechal","C1H","258.62","-","334",""
"Pierre Mikolajczak","C1H","262.62","551","356",""
"Nicolas Guillemot","C1H","265.81","-","372",""
"Riwal Le Berre","C1H","278.87","392","442",""
"Sylvain Le Roux","C1H","280.74","-","452",""
"Quentin Moret De Rocheprise","C1H","280.92","-","452",""
"Vincent Lemonnier","C1H","282.91","-","463",""
"Frederic Antoine","C1H","283.83","-","469",""
"Yvan Raoult","C1H","288.25","453","492",""
"David Julou","C1H","291.02","-","507",""
"Ewen Legrand","C1H","297.60","-","542",""
"Brian Pieddefer","C1H","335.10","-","742",""
"Guillaume Coroller","C1H","353.99","-","843",""
"Titouan Brouder","C1H","383.80","406","1002",""
"Thibault De La Buharaye","C1H","487.82","-","1556",""
"Claire Pichon-Marie Landais","C2D","457.88","-","1006",""
"Emeric Bertrand-Jeanmarie Le Guyader","C2H","236.07","201","125",""
"Yann Le Govic-Fabien Le Nechet","C2H","238.80","135","139",""
"Ronan Betrom-Adrien Ferec","C2H","252.29","-","205",""
"Gireg Hamoniaux-Julien Darcillon","C2H","255.30","-","220",""
"Edern Le Ruyet-Mathieu Le Gal","C2H","255.50","-","221",""
"Boris Nedelec-Thibaud Couetil","C2H","266.79","297","277",""
"Sebastien Cardiet-Kendoar Le Huitou","C2H","270.50","-","295",""
"Franck Delachair-Lionel Tinevez","C2H","277.91","-","332",""
"Romain Guyomard-Solen Le Bourles","C2H","290.81","-","395",""
"Pierre Yves Tanguy-Titouan Brouder","C2H","300.12","-","442",""
"Quentin Chapin-Charles Potier","C2H","318.15","-","531",""
"Nicolas Marcus-Sylvain Le Roux","C2H","335.39","-","617",""
"Julien Coudert-Elodie Le Nechet","C2M","289.32","-","363",""
"Isabelle Odot-Stephane Odot","C2M","342.15","-","621",""
"Anne Boixel","K1D","225.42","103","82",""
"Caroline Loir","K1D","229.55","29","102",""
"Sarah Despres","K1D","232.10","107","115",""
"Elodie Le Nechet","K1D","236.40","88","136",""
"Estelle Hellard","K1D","246.46","190","187",""
"Stephanie Le Mercier","K1D","250.03","252","205",""
"Valerie Sibioude","K1D","252.18","185","216",""
"Annabelle Garnier","K1D","258.08","269","245",""
"Lucie Baudu","K1D","261.74","260","263",""
"Marie-francoise Prigent","K1D","262.52","241","268",""
"Julie Quesne","K1D","263.23","255","271",""
"Lucie Saucet","K1D","268.83","293","299",""
"Pauline Bercon","K1D","270.11","343","305",""
"Claire Pichon","K1D","281.65","304","363",""
"Marie Laure Graille","K1D","283.64","-","373",""
"Anais Couturier","K1D","283.74","283","373",""
"Kristell Bervet","K1D","284.32","365","376",""
"Cyrielle Pichard","K1D","286.16","335","386",""
"Laetitia Odermatt","K1D","287.25","275","391",""
"Veronique Vourch","K1D","290.39","-","406",""
"Betty Merand","K1D","292.70","410","418",""
"Aurelie Le Fee","K1D","300.85","407","459",""
"Deborah Larsonneur","K1D","302.94","404","470",""
"Solene Graille","K1D","307.48","-","492",""
"Sandrine Kerneis","K1D","308.18","-","495",""
"Jeanne Despres","K1D","310.51","-","507",""
"Joelle Bonnabesse","K1D","318.42","-","547",""
"Marie Landais","K1D","319.26","435","551",""
"Manon Mauguen","K1D","326.35","-","587",""
"Emma Jacob","K1D","330.54","-","607",""
"Isabelle Odot","K1D","338.85","-","649",""
"Anna Affigliati","K1D","346.33","-","686",""
"Suzy Merand","K1D","354.64","552","728",""
"Barbara Cavyn","K1D","370.50","497","807",""
"Mevena Rolland","K1D","392.51","-","917",""
"Manon Briand","K1D","395.55","-","932",""
"Aline Roulland","K1D","415.64","-","1033",""
"Camille Bonnet","K1D","602.21","-","1965",""
"Noen Grange","K1D","719.82","-","2553",""
"Vivien Colober","K1H","194.79","30","46",""
"Benoit Guillaume","K1H","194.79","31","46",""
"Pierre Marie Roussel","K1H","201.01","82","81",""
"Adrien Ferec","K1H","201.22","77","82",""
"Kendaor Le Huitou","K1H","201.75","111","85",""
"Nicolas Veillard","K1H","201.88","36","85",""
"Laurent Rigaud","K1H","203.77","121","96",""
"Julien Coudert","K1H","205.19","82","104",""
"Matthieu Le Gall","K1H","205.41","33","105",""
"Simon Despres","K1H","206.19","114","110",""
"Edern Le Ruyet","K1H","207.34","97","116",""
"Nicolas Coudert","K1H","207.63","93","117",""
"Erwan Cadio","K1H","209.10","88","126",""
"Mathieu Le Gal","K1H","211.07","100","136",""
"Anthony Cadoret","K1H","211.47","170","139",""
"William Desnos","K1H","212.76","114","146",""
"Fabien Le Nechet","K1H","212.88","114","147",""
"Boris Pernelle","K1H","213.88","114","153",""
"Stephane Odot","K1H","214.22","160","155",""
"Franck Delachair","K1H","214.72","123","157",""
"Quentin De Fierville","K1H","215.16","110","160",""
"Riwal Le Berre","K1H","216.10","126","165",""
"Lionel Tinevez","K1H","217.39","153","172",""
"Romain Guyomard","K1H","217.74","149","174",""
"Medhi Deguil","K1H","217.93","-","175",""
"Pierre Yves Tanguy","K1H","219.01","226","182",""
"Tristan Bronsard","K1H","219.21","209","183",""
"Jean Yves Prigent","K1H","219.98","175","187",""
"Erwan Beyou","K1H","220.21","215","188",""
"Benoit Jouan","K1H","221.03","175","192",""
"Sebastien Kerneis","K1H","222.14","181","199",""
"Romain Lecrenais-perrel","K1H","222.25","216","200",""
"Manuel Coquelin","K1H","222.25","224","200",""
"Gwenael Marquer","K1H","223.50","171","206",""
"Christophe Le Mercier","K1H","223.79","149","208",""
"Alain Droniou","K1H","223.93","204","208",""
"Yves Prigent","K1H","225.53","247","218",""
"Tangui Quemeneur","K1H","228.15","216","232",""
"Vit Masare","K1H","228.26","-","233",""
"Francois Adam","K1H","229.42","402","240",""
"Benoit Ricard","K1H","230.76","277","247",""
"Tanguy Le Marec","K1H","231.70","356","252",""
"Emmanuel Moreau","K1H","232.49","209","257",""
"Alexis Lotton","K1H","233.09","303","260",""
"Pierre-yves Lebreton","K1H","233.10","224","260",""
"Marc Anthoine Marchand","K1H","234.78","321","270",""
"Nicolas Marcus","K1H","235.55","256","274",""
"Mael Rogard","K1H","236.16","292","277",""
"David Julou","K1H","236.29","298","278",""
"Kevin Lemenaheze","K1H","237.39","295","284",""
"Maxime Beaulieu","K1H","237.82","304","287",""
"Loic Kervella","K1H","238.04","346","288",""
"Paul Fievet","K1H","238.05","-","288",""
"Yoann Le Guyader","K1H","239.08","-","293",""
"Patrick Jegou","K1H","239.24","271","294",""
"Charles Kerbellec","K1H","239.55","-","297",""
"Riwal Chardon","K1H","239.86","230","298",""
"Matthieu Jonnart-baur","K1H","240.23","315","300",""
"Pierre Mikolajczak","K1H","242.30","236","312",""
"Florian Lepretre","K1H","242.35","452","312",""
"Camille Richer","K1H","242.80","-","315",""
"Mathieu Desnos","K1H","243.43","316","318",""
"Frederi Mahieu","K1H","243.92","-","320",""
"Julien Douais","K1H","244.29","318","322",""
"Victor Azam","K1H","244.93","326","327",""
"Yann Lardic","K1H","246.59","288","335",""
"William Jacopin","K1H","247.09","341","338",""
"Guillaume Blin","K1H","247.13","319","338",""
"Melen Pilorge","K1H","247.20","259","338",""
"Simon Seuru","K1H","248.46","405","346",""
"Guillaume Coroller","K1H","251.79","-","364",""
"Sebastien Gautier","K1H","252.54","292","369",""
"Nowan Bertin","K1H","257.67","336","398",""
"Alban Trehen","K1H","259.06","-","405",""
"Ludovic Gaignon","K1H","259.30","341","406",""
"William Basset","K1H","259.91","341","411",""
"Francois Prevoteau","K1H","260.53","372","414",""
"Erwan Le Guevel","K1H","262.08","411","422",""
"Logan Nannette","K1H","262.44","330","424",""
"Valentin Brindeau","K1H","263.84","146","432",""
"Olivier Brillaut","K1H","264.28","487","434",""
"Wilfried Harduin","K1H","266.41","520","447",""
"Vincent Lemonnier","K1H","267.32","202","451",""
"Louis Guillot","K1H","269.17","427","462",""
"Didier Rouet","K1H","271.44","-","475",""
"Victor Carrouer","K1H","276.05","460","501",""
"Romain Foulon","K1H","278.28","499","513",""
"Guirec Le Guen","K1H","281.13","428","529",""
"Vincent Rondeau","K1H","282.49","-","536",""
"Francois Madec","K1H","283.02","485","539",""
"Christophe Mitchell","K1H","283.34","496","542",""
"Quentin Moret De Rocheprise","K1H","286.19","-","558",""
"Alexandre Rivolet","K1H","286.73","601","560",""
"Fabien Le Bourser","K1H","291.43","269","587",""
"Damien Kerangoarec","K1H","294.63","-","605",""
"Pierreyves Hellard","K1H","295.08","562","607",""
"Theo Laudrin","K1H","295.28","-","608",""
"Philippe Leguilloux","K1H","296.79","-","617",""
"Antoine Rioual","K1H","298.93","751","629",""
"Olivier Pelgrin","K1H","300.94","-","639",""
"Pierreyves Renaudin","K1H","308.06","-","679",""
"Vincent Mevel","K1H","309.21","-","686",""
"Jeremy Escaffre","K1H","309.30","-","687",""
"Maxime Lignereux","K1H","312.66","1187","705",""
"Loeiz Descheres","K1H","313.16","-","708",""
"Jamyson Claquin","K1H","324.09","677","770",""
"Jeremy Latorre","K1H","328.02","-","791",""
"Matthieu Laumonier","K1H","329.29","-","799",""
"Maxime Dreux","K1H","329.57","358","800",""
"Guillaume Payet","K1H","337.40","-","844",""
"Gael Bleunven","K1H","343.42","-","878",""
"Lucas Nedelec","K1H","350.31","-","916",""
"Antoine Guillet","K1H","351.29","-","922",""
"William Le Berre","K1H","351.86","1427","925",""
"Luke Long","K1H","362.29","404","983",""
"Philippe Belan","K1H","367.09","-","1010",""
"Pierre Durand","K1H","369.43","-","1023",""
"Maxime Talvas","K1H","377.72","-","1069",""
"Ferdinand Malard","K1H","389.45","-","1135",""
