"Selectif régional et Championnats de Normandie - Beaumont Le Roger - Eure - 2009-01-25 Course 1","Beaumont Le Roger - Eure","Course 1","","2009-01-25","Régional","100"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Oriane Rebours","C1D","330.2","316.0","621.0",""
"Pauline Soenen","C1D","330.75","430.0","624.0",""
"Guillaume Wattez","C1H","199.79","54.0","119.0",""
"Lorrie Delattre","C1H","222.38","163.0","239.0",""
"Yoann Rebours","C1H","227.12","271.0","265.0",""
"Didier Niel","C1H","236.45","276.0","315.0",""
"Guillaume Sellier","C1H","237.67","266.0","322.0",""
"Xavier Jourdain","C1H","243.74","213.0","354.0",""
"Eric Beaumont","C1H","251.85","508.0","397.0",""
"Guillaume Doutreix","C1H","280.28","249.0","549.0",""
"Jeremy Bretteville","C1H","293.56","-","620.0",""
"Geoffroy Lauth","C1H","307.85","498.0","696.0",""
"Yves Lecointe","C1H","358.29","-","965.0",""
"Simon Joudou","C1H","383.61","-","1101.0",""
"Lancelot Meillier","C1H","412.8","606.0","1257.0",""
"Olivier Cornu","C1H","414.28","541.0","1265.0",""
"Samuel Bonvalet","C1H","446.59","528.0","1437.0",""
"Stephane Broute-Xavier Jourdain","C2H","242.01","312.0","285.0",""
"Bertrand Avril-Nicolas Dupres","C2H","265.05","440.0","403.0",""
"Bertrand Avril-Simon Joudou","C2H","312.98","-","647.0",""
"Yoann Rebours-Goulwen Chapelier","C2H","314.32","-","654.0",""
"Yoann Deschemaeker-Anthony Mottais","C2H","446.73","-","1329.0",""
"Alexis Simon-Florian Pean","C2H","456.73","-","1380.0",""
"Damien Jacques-Paul Batrel","C2H","473.27","761.0","1465.0",""
"Samuel Bonvalet-Sebastien Masseline","C2H","588.17","-","2052.0",""
"Wilhelm Heimburger-Maxime Dubuisson","C2H","1071.07","-","4513.0",""
"Xavier Montenoise-Donatien Lamoureux","C2H","1342.51","-","5898.0",""
"Oriane Rebours-Yoann Rebours","C2M","276.01","-","364.0",""
"Anne Sophie Le Bailly-Emile Devaux","C2M","311.7","-","533.0",""
"Anne Sophie Le Bailly","K1D","222.32","134.0","155.0",""
"Celia Jodar","K1D","272.41","330.0","404.0",""
"Pauline Soenen","K1D","292.85","179.0","506.0",""
"Chloe Gatuingt","K1D","323.66","337.0","658.0",""
"Alize Bachelot","K1D","412.77","276.0","1100.0",""
"Angelina Dorleans","K1D","448.17","748.0","1277.0",""
"Dominique Badie-kallou","K1D","586.39","634.0","1963.0",""
"Camille Bonnet","K1D","774.39","1823.0","2896.0",""
"Camille Simon","K1D","879.69","-","3419.0",""
"Emilie Raux","K1D","1014.49","-","4088.0",""
"Angelique Morel","K1D","1073.6","-","4381.0",""
"Benoit Letellier","K1H","181.72","49.0","71.0",""
"Xavier Jourdain","K1H","188.02","100.0","106.0",""
"Benjamin Thiboust","K1H","191.29","134.0","125.0",""
"Anthony Mottais","K1H","192.19","107.0","130.0",""
"Emile Devaux","K1H","192.64","67.0","132.0",""
"Goulwen Chapelier","K1H","195.83","71.0","150.0",""
"Didier Niel","K1H","196.08","180.0","151.0",""
"Axel Marais","K1H","203.46","167.0","192.0",""
