"Championnat Régional - Bassin international des Seignottes - Finale - 2014-10-12","Bassin international des Seignottes","Finale","finale","2014-10-12","Régional","110"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anna Wider","C1D","132.88","250.84","221.85","finale a"
"Azenor Philip","C1D","141.81","245.4","300.55","finale a"
"Elodie Delavelle","C1D","169.59","364.91","545.39","finale a"
"Jihane Samlal","C1D","189.31","-","719.19","finale a"
"Emilie Lhomme","C1D","286.15","293.29","1572.68","finale a"
"Tifenn Primet","C1DM","202.42","-","834.73","finale a"
"Sebastien De Kerleau","C1H","112.11","55.07","179.94","finale a"
"Lucas Vancon","C1H","114.11","137.21","200.09","finale a"
"Olivier Lalliet","C1H","114.93","-","208.35","finale a"
"Simon Werro","C1H","115.64","194.29","215.5","finale a"
"Jeremias Schlaefli","C1H","116.93","372.72","228.5","finale a"
"Medhi Deguil","C1H","122.1","166.62","280.57","finale a"
"Philippe Thevenin","C1H","122.15","206.62","281.07","finale a"
"Gilles Schweitzer","C1H","126.8","328.43","327.91","finale a"
"Jerome Daille","C1H","129.31","325.48","353.19","finale a"
"Simon Clerc","C1H","131.62","298.0","376.46","finale a"
"Martin Dougoud","C1H","131.63","-","376.56","finale a"
"Jules Bernardet","C1HM","151.81","588.97","579.83","finale a"
"Philippe Thevenin-Patrick Thevenin","C2H","136.91","335.42","367.07","finale a"
"Claude Menissier-Gerard Menissier","C2H","141.1","352.27","407.35","finale a"
"Christophe Billaud-Philippe Devillers","C2H","153.4","369.36","525.61","finale a"
"Louis Pein-Samuel Gerard","C2HM","220.88","-","1174.41","finale a"
"Christophe Billaud-Elodie Delavelle","C2M","153.76","378.85","405.87","finale a"
"Lea Wetzel","K1D","116.0","94.64","136.41","finale a"
"Anneline Triomphe","K1D","117.06","128.79","146.33","finale a"
"Caroline Bourry","K1D","118.14","74.92","156.44","finale a"
"Jihane Samlal","K1D","121.87","141.48","191.35","finale a"
"Viviana Daille","K1D","125.89","210.73","228.97","finale a"
"Louise Bichet","K1D","130.63","246.21","273.34","finale a"
"Elodie Delavelle","K1D","134.81","200.98","312.46","finale a"
"Azenor Philip","K1D","135.04","208.51","314.61","finale a"
"Oceane Vienet","K1D","136.01","225.06","323.69","finale a"
"Meryl Steinmann","K1DM","151.91","447.07","472.51","finale a"
"Zoe Bruchon","K1DM","158.49","444.5","534.1","finale a"
"Tifenn Primet","K1DM","195.06","567.12","876.36","finale a"
