"SÈlectif RÈgional Slalom (Double) - Montreuil Sur Mer Et Beaurainville - Course n∞1 | Finale - 2016-09-17","Montreuil Sur Mer Et Beaurainville","Course n∞1 | Finale","finale","2016-09-17","RÈgional","191"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Anais Bernardy","C1D","113.48","224.73","292.0","finale a"
"Emilie Delahaye","C1D","117.73","334.54","340.1","finale a"
"Sophie Dupas","C1D","136.32","530.42","550.51","finale a"
"Leontine Dubuisson","C1D","143.56","616.1","632.46","finale a"
"Thibaud Vielliard","C1H","87.24","48.69","136.06","finale a"
"Thibault Blaise","C1H","88.96","63.44","158.31","finale a"
"Jean Pierre Bourhis","C1H","89.41","120.12","164.13","finale a"
"Alexis Bobon","C1H","90.36","217.06","176.42","finale a"
"Nicolas Ducrocq","C1H","91.42","206.79","190.13","finale a"
"Michael Philibert","C1H","94.83","267.71","234.24","finale a"
"Hector Combes","C1H","96.9","274.96","261.02","finale a"
"Louis Bouclier","C1H","97.75","241.68","272.01","finale a"
"Louis Vandeville","C1H","97.75","300.5","272.01","finale a"
"Hugo Latimier","C1H","98.85","221.57","286.24","finale a"
"Xavier Jourdain","C1H","98.95","268.38","287.53","finale a"
"Eloi Seemann","C1H","99.89","225.78","299.69","finale a"
"Jules Bevalot","C1H","101.64","382.12","322.33","finale a"
"Olivier Gesbert","C1H","102.24","333.97","330.09","finale a"
"Martin Rohaut","C1H","104.39","292.4","357.9","finale a"
"Nicolas Bernardy","C1H","104.64","283.39","361.14","finale a"
"Theo Lefetey","C1H","104.86","410.73","363.98","finale a"
"Mathieu Dutendas","C1H","105.57","399.34","373.17","finale a"
"Charles Bre","C1H","105.84","318.74","376.66","finale a"
"Virgile Bourlet De La Vallee","C1H","108.85","345.35","415.6","finale a"
"Hugo Regnier","C1H","109.57","390.24","424.9","finale a"
"Samuel Lhegu","C1H","159.74","312.09","1073.88","finale a"
"Hugo Baillet","C1HM","112.61","-","464.24","finale a"
"Paul Cascarino","C1HM","114.81","465.37","492.69","finale a"
"Loœc Pottier","C1HM","116.95","656.94","520.37","finale a"
"Mewen Debliquy","C1HM","130.55","-","696.29","finale a"
"Gaspard Perrio-L…o Le Moigne","C2H","104.03","340.73","292.08","finale a"
"Thibaud Vielliard-Martin Rohaut","C2H","109.86","308.7","364.06","finale a"
"Eloi Seemann-Charles Bre","C2H","114.99","329.73","427.4","finale a"
"Simon Dubosc-Quentin Angot","C2H","121.31","499.17","505.45","finale a"
