"Sélectif Régional de Slalom - Bassin De Servon/vilaine (la Mecque-1) - Finale","Bassin De Servon/vilaine (la Mecque-1)","Finale","finale","2017-01-08","Régional","124"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anais Bernardy","C1D","138.55","250.02","352.63","finale a"
"Agathe Chaumet","C1D","147.12","384.08","435.49","finale a"
"Alice Azam","C1D","148.56","393.6","449.41","finale a"
"Camille Castryck","C1DM","152.64","520.89","488.86","finale a"
"Romane Regnier","C1DM","180.25","-","755.78","finale a"
"Mathilde Le Solliec","C1DM","195.66","-","904.76","finale a"
"Claire Chaussadas","C1DM","214.07","-","1082.75","finale a"
"Timothee Cornu","C1H","124.25","363.14","385.99","finale a"
"Nicolas Bernardy","C1H","124.32","294.75","386.76","finale a"
"Medhi Deguil","C1H","126.38","-","409.53","finale a"
"Ludovic Roye","C1H","129.86","358.29","447.97","finale a"
"Johann Loiseau","C1H","131.12","379.77","461.89","finale a"
"Jean Aussant","C1H","134.84","535.02","503.0","finale a"
"Glen Le Meur","C1H","140.18","591.09","562.0","finale a"
"Simon Seuru","C1H","282.19","566.56","2131.05","finale a"
"Mewen Debliquy","C1HM","141.35","623.09","574.93","finale a"
"Titouan Castryck","C1HM","144.73","-","612.27","finale a"
"Rafael Lerusse","C1HM","152.74","773.83","700.78","finale a"
"Etienne Chevrier","C1HM","165.36","-","840.21","finale a"
"Julien Mizzi","C1HM","191.75","613.25","1131.79","finale a"
"Laurie Beaurepere-Louna Beurel","C2DM","176.32","651.62","586.67","finale a"
"Cedric Forgit-Martin Braud","C2H","127.96","-","362.71","finale a"
"Hugo Regnier-Arthur Mizzi","C2H","129.38","328.77","377.69","finale a"
"Samuel Le Dean-Guillaume Maillot","C2H","144.31","743.02","535.16","finale a"
"Nathanael Pedron-Charles Temple","C2H","146.76","678.51","560.99","finale a"
"Clement Dubois-Martin Dubois","C2H","148.06","596.55","574.71","finale a"
"Julien Mizzi-Mewen Debliquy","C2HM","161.59","-","717.4","finale a"
"Sarah Despres","K1D","113.24","135.94","175.76","finale a"
"Anais Bernardy","K1D","116.04","165.52","204.51","finale a"
"Agathe Chaumet","K1D","118.91","174.82","233.97","finale a"
"Alice Azam","K1D","120.16","253.05","246.81","finale a"
"Sarah Lyphout","K1D","123.49","310.92","280.99","finale a"
"Camille Castryck","K1DM","143.31","533.05","484.48","finale a"
"Louna Beurel","K1DM","146.85","527.31","520.83","finale a"
"Romane Regnier","K1DM","149.1","-","543.93","finale a"
"Laurie Beaurepere","K1DM","159.44","678.69","650.08","finale a"
"Mathilde Le Solliec","K1DM","160.15","-","657.38","finale a"
"Yves Prigent","K1H","98.01","48.95","150.21","finale a"
"Anthony Drouhin","K1H","101.02","223.72","185.13","finale a"
"Nicolas Bernardy","K1H","101.51","158.94","190.82","finale a"
"Hugo Regnier","K1H","102.68","188.48","204.39","finale a"
"Luca Dos Santos","K1H","103.07","184.51","208.92","finale a"
"Arthur Mizzi","K1H","105.08","229.05","232.23","finale a"
"Pierre Audouin","K1H","106.46","248.12","248.24","finale a"
"Johann Loiseau","K1H","107.95","215.96","265.53","finale a"
"Timothee Cornu","K1H","108.42","274.19","270.98","finale a"
"Nathanael Pedron","K1H","108.57","296.83","272.72","finale a"
"Maxime Jean","K1H","110.77","-","298.25","finale a"
"Guillaume Maillot","K1H","112.79","320.06","321.68","finale a"
"Frederic Castryck","K1H","113.5","331.55","329.92","finale a"
"Jeanmichel Regnier","K1H","114.01","281.03","335.83","finale a"
"Timothee Le Mort","K1H","114.04","264.73","336.18","finale a"
"Lucas Soudi","K1H","114.53","343.43","341.87","finale a"
"Maxime Berthaut","K1H","115.67","422.3","355.09","finale a"
"Emmanuel Cosse","K1H","116.19","362.01","361.13","finale a"
"Jonas Flament","K1H","116.25","403.98","361.82","finale a"
"Samuel Le Dean","K1H","116.48","355.19","364.49","finale a"
"Louis Forgeard","K1H","116.7","439.01","367.04","finale a"
"Simon Seuru","K1H","116.71","338.61","367.16","finale a"
"Pierre Yves Tanguy","K1H","117.25","398.06","373.42","finale a"
"Charles Temple","K1H","117.4","407.95","375.16","finale a"
"Jean Aussant","K1H","117.87","360.31","380.62","finale a"
"Martin Dubois","K1H","118.77","441.48","391.06","finale a"
"Simon Cognard","K1H","119.17","489.03","395.7","finale a"
"Leo Grollier","K1H","120.79","543.08","414.49","finale a"
"Arthur Chaumet","K1H","124.36","332.26","455.91","finale a"
"Loan Queffelec","K1H","129.72","299.0","518.09","finale a"
"Clement Dubois","K1H","132.73","455.25","553.01","finale a"
"Mewen Debliquy","K1HM","125.96","510.49","474.47","finale a"
"Titouan Castryck","K1HM","126.25","-","477.83","finale a"
"Julien Mizzi","K1HM","134.75","605.49","576.45","finale a"
"Rafael Lerusse","K1HM","139.96","636.89","636.89","finale a"
"Corentin Beaumois","K1HM","148.8","918.47","739.45","finale a"
"Matheo Morin","K1HM","153.01","-","788.29","finale a"
"Logan Toubel","K1HM","156.99","859.25","834.46","finale a"
"Nino Simon","K1HM","160.55","-","875.76","finale a"
"Matisse Anfray","K1HM","163.15","843.3","905.92","finale a"
"Loan Queffelec","C1H","136.59","610.09","527.34","finale b"
"Clement Dubois","C1H","143.58","-","604.57","finale b"
"Simon Cognard","C1H","145.01","-","620.37","finale b"
"Louis Beaumois","C1H","148.25","857.86","656.16","finale b"
"Thibault Lamour","C1H","152.53","812.07","703.46","finale b"
"Elouan Pennors","C1H","160.69","765.13","793.61","finale b"
"Mathieu Aussant","C1H","163.38","-","823.33","finale b"
"Alexis Letellier","C1H","169.22","-","887.86","finale b"
"Alexis Letellier-Baptiste Madic","C2H","238.72","-","1535.87","finale b"
"Coline Bertin","K1D","133.11","307.52","384.76","finale b"
"Lucie Lemetayer","K1D","172.85","1564.96","792.77","finale b"
"Claire Chaussadas","K1DM","169.35","-","756.82","finale b"
"Mathis Soudi","K1H","104.2","129.68","227.03","finale b"
"Stephane Debliquy","K1H","121.46","351.4","427.26","finale b"
"Mathieu Aussant","K1H","123.25","486.09","448.03","finale b"
"Thibault Lamour","K1H","126.4","477.63","484.58","finale b"
"Youenn Peloil","K1H","127.17","544.79","493.51","finale b"
