"SÈlectif RÈgional de Slalom - St Jean D Angely - Qualification","St Jean D Angely","Qualification","qualif","2018-01-28","RÈgional","134"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Ella Bregazzi","C1D","113.63","165.48","194.18",""
"Perrine Joubert","C1D","158.88","415.26","658.07",""
"Marie Charbonneau","C1D","222.16","527.96","1306.8",""
"Jerome Blanchet","C1H","102.79","149.02","233.59",""
"Julien Pajaud","C1H","104.52","189.97","253.86",""
"Anthony Roux","C1H","105.77","177.67","268.5",""
"Henri Chenu","C1H","110.41","237.76","322.87",""
"Yanis Rainaud","C1H","114.03","373.06","365.28",""
"Frederic Boob","C1H","117.76","377.51","408.98",""
"Tanguy Zaninotto","C1H","120.75","363.66","444.02",""
"Adrien Roux","C1H","121.08","361.02","447.88",""
"Julien Beneteau","C1H","123.66","454.41","478.11",""
"Louis Rathier","C1H","124.63","493.85","489.47",""
"Thibault Dufour","C1H","124.64","462.16","489.6",""
"Christian Boob","C1H","124.68","430.18","490.06",""
"Clement Gillaizeau","C1H","128.17","540.34","530.96",""
"Theo Jeanlouis","C1H","128.42","515.35","533.88",""
"Adrien Pardoux","C1H","131.2","537.73","566.45",""
"Loris Shayam Affre","C1H","133.32","499.96","591.29",""
"Hugues Lesimple","C1H","142.05","507.17","693.58",""
"Killyan Moreau","C1H","163.89","659.42","949.46",""
"Adrien Favennec","C1H","169.24","806.97","1012.14",""
"Dylan Renneteau","C1H","186.72","893.33","1216.95",""
"Lucas Deleplancque","C1H","191.92","1117.63","1277.87",""
"Gauthier Beyneix","C1H","199.32","502.07","1364.57",""
"Gaspard Trichard","C1H","266.79","977.05","2155.07",""
"Martin Thermidor","C1H","287.61","876.07","2399.0",""
"Matt…o Rainaud","C1HM","160.97","703.47","915.25",""
"Clement Brotier","C1HM","178.6","1020.34","1121.8",""
"Maxime Pham Dang","C1HM","215.02","812.61","1548.51",""
"Aurele Neveu","C1HM","306.41","1336.93","2619.26",""
"Jerome Blanchet-Anthony Roux","C2H","109.73","359.07","256.46",""
"Christian Boob-Frederic Boob","C2H","116.72","319.02","334.64",""
"Tom Babin-Arnaud Verrons","C2H","118.82","361.1","358.12",""
"Pierre Giudicelli-Theo Desvignes","C2H","123.45","449.51","409.9",""
"Louis Rathier-Titouan Conseil","C2H","150.19","780.42","708.96",""
"Adrien Roux-Guillaume Lopes","C2H","156.16","727.73","775.73",""
"Adrien Ricaud-Kylian Gauthier","C2H","211.97","-","1399.89",""
"Charley Sannier Durand-Tom Baillon","C2H","232.24","581.79","1626.58",""
"Frederic Boob-Frederique Merle","C2M","131.17","312.1","373.99",""
"Frederique Merle","K1D","122.08","304.13","358.33",""
"Perrine Joubert","K1D","124.94","344.43","389.47",""
"Elise Doreau","K1D","137.03","518.26","521.09",""
